Ativo;B referência;Spread Over (%);Spread (bps)
NRTB11;B26;-0,02;7,14
NRTB21;B26;0,19;1,18
NTEN11;B27;2,63;-4,2
ODTR11;B25;;
ODYA11;B28;0,04;0,5
OMGE12;B28;0,27;7,26
OMGE22;B28;0,32;4,85
OMGE31;B25;1,66;7,24
OMGE41;B27;;
OMNG12;B27;0,15;12,26
ORIG11;B32;1,75;-5,46
PALF38;B26;-0,14;-0,14
PALFA3;B32;-0,06;2,7
PALFB3;B35;0,04;-3,67
PASN12;B27;0,82;-0,75
PEJA11;B29;;
PEJA22;B33;;
PEJA23;B33;0,23;0,06
PETR16;B26;-0,6;-9,14
PETR17;B30;-0,34;0,28
PETR26;B29;-0,29;-1,14
PETR27;B35;-0,12;-3,96
PLSB1A;B29;0,49;-0,74
POTE11;B33;0,55;-3,42
POTE12;B32;0,5;-2,03
PPTE11;B27;0,16;36,02
PRAS11;B30;0,12;-2,26
PRPO12;B29;0,58;3,05
PRTE12;B27;-0,11;6,81
PTAZ11;B40;0,5;1,37
QUAT13;B30;;
RAHD11;B32;;
RAIZ13;B35;0,37;2,31
RAIZ23;B40;0,39;0,32
RALM11;B40;0,04;0,04
RALM21;B40;0,04;0,04
RATL11;B32;1,03;-16,2
RDOE18;B30;0,11;-4,21
RDVE11;B30;0,22;-6,71
RECV11;B30;0,61;3,86
RESA14;B29;0,13;4,11
RESA15;B29;0,2;6,74
RESA17;B29;0,17;5,1
RESA27;B30;0,35;1,9
RIGEA3;B28;-0,1;11,91
RIPR22;B30;0,18;8,04
RIS412;B30;0,84;-0,25
RIS414;B32;0,83;-0,54
RIS422;B35;1,19;-1,7
RIS424;B40;1,19;-2,1
RISP12;B30;0,84;-0,47
RISP14;B32;0,85;-1,32
RISP22;B35;1,2;-0,23
RISP24;B40;1,18;-3,84
RMSA12;B35;1,63;-1,95
RRRP13;B30;1,52;0,15
RSAN16;B33;0,44;-0,16
RSAN26;B35;0,73;-1,14
RSAN34;B27;0,3;1,61
RSAN44;B28;0,29;1,05
RUMOA2;B28;-0,15;0,27
RUMOA3;B28;-0,1;4,81
RUMOA4;B29;-0,05;5,68
RUMOA5;B30;;
RUMOA6;B30;;
RUMOA7;B29;0,21;0,19
RUMOB1;-;;
RUMOB3;B28;-0,08;7,96
RUMOB5;B35;0,15;4,7
RUMOB6;B35;0,18;5,66
RUMOB7;B33;0,05;0,36
SABP12;B35;1,25;4,67
SAELA1;B29;0,1;3,91
SAELA3;B30;0,11;-0,31
SAELB3;B40;0,2;2,22
SAPR10;B27;0,03;7,44
SAPRA2;B29;0,26;2,97
SAPRA3;B30;0,31;5,61
SAPRB3;B32;0,3;2,45
SAVI13;B29;0,66;12,66
SBSPB6;B27;-0,31;-10,1
SBSPC4;B26;-0,33;-5,47
SBSPC6;B29;-0,22;-8,27
SBSPD4;B28;;
SBSPE3;B35;;
SBSPE9;B30;-0,18;-0,48
SBSPF3;B40;-0,04;3,11
SBSPF9;B35;0,26;-0,68
SERI11;B32;0,5;-0,76
SMTO14;B32;0,1;5,44
SMTO24;B35;0,27;0,41
SNRA13;B27;1,32;31,99
SPRZ11;B27;-0,16;21,04
SRTI11;B29;;
STBP35;B33;;
STBP45;B40;0,24;1,65
STRZ11;B32;0,48;4,69
SUMI17;B30;;
SUMI18;B30;;
SUMI37;B32;1,68;-0,27
SUZB19;B30;-0,27;4,86
SUZB29;B33;-0,22;4,47
SUZBA0;B40;-0,25;-2,69
SUZBC1;B35;-0,22;-0,81
TAEB15;B26;0,33;6,32
TAEE17;B35;0,16;3,74
TAEE18;B32;0,24;8,88
TAEE26;B35;0,3;1,99
TAEEA2;B35;0,2;5,86
TAEEA4;B33;-0,05;-0,63
TAEEA7;B40;-0,03;0,06
TAEEB2;B29;-0,14;1,89
TAEEB4;B35;-0,02;6,41
TAEEC2;B30;;
TAEEC4;B40;;
TAEED2;B35;0,29;1,05
TAES15;B25;;
TBEG11;B30;;
TBLE26;B26;-0,05;13,98
TCII11;B33;0,54;2,51
TEPA12;B29;3,12;-7,92
TIET18;B28;-0,01;0,98
TIET29;B28;0,04;-0,94
TIET39;B28;0,02;0,49
TIMS12;B27;;
TNHL11;B32;;
TOME12;B26;2,38;3,15
TPEN11;B28;0,12;12,47
TPNO12;B27;-0,04;13,1
TPNO13;B35;0,69;-0,15
TRCC11;B28;-0,01;10,3
TRGO11;B28;0,16;7,2
TRPLA4;B33;-0,17;0,87
TRPLA7;B45;-0,14;-5,95
TRPLB4;B40;-0,03;-2,56
TRPLB7;B40;-0,07;-2,6
TSSG21;B32;-0,02;-1,33
TVVH11;B29;0,21;-8,82
UHSM12;B35;;
UNEG11;B35;;
UNTE11;B27;0,47;21,92
USAS11;B27;0,5;10,52
UTPS11;B27;0,06;1,97
UTPS12;B27;0,06;3,03
UTPS21;B32;0,52;10,41
UTPS22;B33;0,56;12,67
VALE38;B26;-0,75;-7,14
VALE48;B27;-0,44;-7,8
VALEA0;B35;-0,53;0,94
VALEB0;B35;-0,49;-0,79
VALEC0;B40;-0,4;6,42
VAMO33;B30;;
VAMO34;B30;2,91;-3,69
VBRR11;B29;2,08;1,32
VDBF12;B30;;
VDEN12;B25;;
VERO12;B28;1,55;0,73
VERO13;B29;1,71;-0,69
VERO24;B30;1,45;-0,17
VERO44;B33;1,77;-1,59
VLIM13;B28;0,01;1,22
VLIM14;B29;-0,02;-0,71
VLIM15;B30;0,0;-1,02
VLIM16;B33;0,1;-0,09
VPLT12;B26;-0,23;17,95
VRDN12;B30;1,64;-0,63
WDPR11;B27;-0,06;-0,34
XNGU17;B30;;
