DATA,Tipo,Spread,Data_Str,Color
2025-03-18,Spread B25/DAP25,0.0049000000000001265,2025-03-18,#003366
2025-03-19,Spread B25/DAP25,0.04279999999999973,2025-03-19,#003366
2025-03-20,Spread B25/DAP25,0.007699999999999818,2025-03-20,#003366
2025-03-21,Spread B25/DAP25,-0.039699999999999847,2025-03-21,#003366
2025-03-24,Spread B25/DAP25,0.26480000000000015,2025-03-24,#003366
2025-03-25,Spread B25/DAP25,0.034000000000000696,2025-03-25,#003366
2025-03-26,Spread B25/DAP25,0.49319999999999986,2025-03-26,#003366
2025-03-27,Spread B25/DAP25,-0.4322999999999997,2025-03-27,#003366
2025-03-31,Spread B25/DAP25,0.0506000000000002,2025-03-31,#003366
2025-04-01,Spread B25/DAP25,-0.3194000000000008,2025-04-01,#003366
2025-04-02,Spread B25/DAP25,-0.04900000000000038,2025-04-02,#003366
2025-04-03,Spread B25/DAP25,0.025000000000000355,2025-04-03,#003366
2025-04-04,Spread B25/DAP25,-0.13680000000000092,2025-04-04,#003366
2025-04-07,Spread B25/DAP25,0.07569999999999943,2025-04-07,#003366
2025-04-08,Spread B25/DAP25,0.008699999999999264,2025-04-08,#003366
2025-04-09,Spread B25/DAP25,-0.1061999999999994,2025-04-09,#003366
2025-04-10,Spread B25/DAP25,-0.23130000000000095,2025-04-10,#003366
2025-04-11,Spread B25/DAP25,-0.06239999999999846,2025-04-11,#003366
2025-04-14,Spread B25/DAP25,-0.05429999999999957,2025-04-14,#003366
2025-04-15,Spread B25/DAP25,-0.6483999999999988,2025-04-15,#003366
2025-04-16,Spread B25/DAP25,0.0909999999999993,2025-04-16,#003366
2025-04-17,Spread B25/DAP25,0.05889999999999951,2025-04-17,#003366
2025-04-22,Spread B25/DAP25,-0.07609999999999939,2025-04-22,#003366
2025-04-23,Spread B25/DAP25,-0.2132000000000005,2025-04-23,#003366
2025-04-24,Spread B25/DAP25,0.2112999999999996,2025-04-24,#003366
2025-04-25,Spread B25/DAP25,0.015300000000001646,2025-04-25,#003366
2025-04-28,Spread B25/DAP25,-0.3192000000000004,2025-04-28,#003366
2024-04-29,Spread B26/DAP26,0.09499999999999975,2024-04-29,#1f77b4
2024-04-30,Spread B26/DAP26,0.09090000000000042,2024-04-30,#1f77b4
2024-05-02,Spread B26/DAP26,0.08539999999999992,2024-05-02,#1f77b4
2024-05-06,Spread B26/DAP26,0.07810000000000006,2024-05-06,#1f77b4
2024-05-07,Spread B26/DAP26,0.10580000000000034,2024-05-07,#1f77b4
2024-05-15,Spread B26/DAP26,0.09379999999999988,2024-05-15,#1f77b4
2024-05-21,Spread B26/DAP26,0.0693999999999999,2024-05-21,#1f77b4
2024-05-23,Spread B26/DAP26,0.09509999999999952,2024-05-23,#1f77b4
2024-05-24,Spread B26/DAP26,0.09450000000000003,2024-05-24,#1f77b4
2024-05-27,Spread B26/DAP26,0.08330000000000037,2024-05-27,#1f77b4
2024-05-28,Spread B26/DAP26,0.08840000000000003,2024-05-28,#1f77b4
2024-06-03,Spread B26/DAP26,0.08909999999999929,2024-06-03,#1f77b4
2024-06-04,Spread B26/DAP26,0.06740000000000013,2024-06-04,#1f77b4
2024-06-05,Spread B26/DAP26,0.07559999999999967,2024-06-05,#1f77b4
